Alces alces
Odocoileus virginianus
Canis latrans
Canis lupus
Vulpes vulpes
Lynx canadensis
Lynx rufus
Mephitis mephitis
Lutra canadensis
Martes pennanti
Mustela
Mustela erminea
Mustela frenata
Mustela macrodon
Mustela vison
Odobenus rosmarus
Halichoerus grypus
Phoca vitulina
Procyon lotor
Ursus americanus
Eptesicus fuscus
Lasionycteris noctivagans
Lasiurus borealis
Lasiurus cinereus
Myotis keenii
Myotis leibii
Myotis lucifugus
Pipistrellus subflavus
Lepus americanus
Castor canadensis
Clethrionomys gapperi
Microtus pennsylvanicus
Ondatra zibethicus
Peromyscus leucopus
Peromyscus maniculatus
Synaptomys cooperi
Napaeozapus insignis
Zapus hudsonius
Erethizon dorsatum
Mus musculus
Rattus norvegicus
Glaucomys
Glaucomys sabrinus
Glaucomys volans
Marmota monax
Sciurus carolinensis
Tamias striatus
Tamiasciurus hudsonicus
Blarina brevicauda
Sorex cinereus
Sorex fumeus
Sorex hoyi
Sorex palustris
Condylura cristata
Parascalops breweri
Accipiter cooperii
Accipiter gentilis
Accipiter striatus
Aquila chrysaetos
Buteo jamaicensis
Buteo lagopus
Buteo lineatus
Buteo platypterus
Buteo swainsoni
Circus cyaneus
Haliaeetus leucocephalus
Cathartes aura
Pandion haliaetus
Aix sponsa
Anas acuta
Anas americana
Anas clypeata
Anas crecca
Anas discors
Anas penelope
Anas platyrhynchos
Anas rubripes
Anas strepera
Anser albifrons
Aythya affinis
Aythya americana
Aythya collaris
Aythya marila
Aythya valisineria
Branta bernicla
Branta canadensis
Bucephala albeola
Bucephala clangula
Bucephala islandica
Camptorhynchus labradorius
Chen caerulescens
Clangula hyemalis
Cygnus columbianus
Histrionicus histrionicus
Lophodytes cucullatus
Melanitta fusca
Melanitta nigra
Melanitta perspicillata
Mergus merganser
Mergus serrator
Oxyura jamaicensis
Somateria mollissima
Somateria spectabilis
Chaetura pelagica
Archilochus colubris
Selasphorus rufus
Caprimulgus carolinensis
Caprimulgus vociferus
Chordeiles minor
Alca torda
Alle alle
Cepphus grylle
Fratercula arctica
Pinguinus impennis
Uria aalge
Uria lomvia
Charadrius melodus
Charadrius semipalmatus
Charadrius vociferus
Pluvialis dominica
Pluvialis squatarola
Haematopus palliatus
Chlidonias niger
Larus argentatus
Larus atricilla
Larus delawarensis
Larus fuscus
Larus glaucoides
Larus hyperboreus
Larus marinus
Larus minutus
Larus philadelphia
Larus pipixcan
Larus ridibundus
Pagophila eburnea
Rissa tridactyla
Rynchops niger
Sterna antillarum
Sterna caspia
Sterna dougallii
Sterna fuscata
Sterna hirundo
Sterna maxima
Sterna paradisaea
Xema sabini
Recurvirostra americana
Actitis macularia
Arenaria interpres
Bartramia longicauda
Calidris alba
Calidris alpina
Calidris bairdii
Calidris canutus
Calidris fuscicollis
Calidris himantopus
Calidris maritima
Calidris mauri
Calidris melanotos
Calidris minutilla
Calidris pusilla
Catoptrophorus semipalmatus
Gallinago gallinago
Limnodromus griseus
Limnodromus scolopaceus
Limosa haemastica
Numenius americanus
Numenius borealis
Numenius phaeopus
Phalaropus fulicaria
Phalaropus lobatus
Phalaropus tricolor
Scolopax minor
Tringa flavipes
Tringa melanoleuca
Tringa solitaria
Catharacta skua
Stercorarius longicaudus
Stercorarius parasiticus
Stercorarius pomarinus
Columba livia
Ectopistes migratorius
Zenaida macroura
Ceryle alcyon
Coccyzus americanus
Coccyzus erythropthalmus
Falco columbarius
Falco peregrinus
Falco rusticolus
Falco sparverius
Colinus virginianus
Bonasa umbellus
Falcipennis canadensis
Meleagris gallopavo
Perdix perdix
Phasianus colchicus
Tympanuchus cupido cupido
Gavia immer
Gavia pacifica
Gavia stellata
Grus canadensis
Fulica americana
Gallinula chloropus
Porphyrula martinica
Porzana carolina
Rallus elegans
Rallus limicola
Rallus longirostris
Eremophila alpestris
Bombycilla cedrorum
Bombycilla garrulus
Calcarius lapponicus
Plectrophenax nivalis
Cardinalis cardinalis
Guiraca caerulea
Passerina amoena
Passerina ciris
Passerina cyanea
Pheucticus ludovicianus
Piranga ludoviciana
Piranga olivacea
Piranga rubra
Spiza americana
Certhia americana
Corvus brachyrhynchos
Corvus corax
Cyanocitta cristata
Perisoreus canadensis
Ammodramus caudacutus
Ammodramus leconteii
Ammodramus nelsoni
Ammodramus savannarum
